Root rootrank
Calderihabitans genus
Dictyoglomi phylum
Diplorickettsia genus
Anaerotaenia genus
Roseiarcaceae family
Atopococcus genus
Marinifilaceae family
Filibacter genus
Proteiniclasticum genus
Azovibrio genus
Halioglobus genus
Gemmatimonadaceae family
Cronobacter genus
Arenicellales order
Fimbriimonadales order
Proteus genus
Barnesiellaceae family
Herbivorax genus
Desulfosalsimonas genus
Desulfobaculum genus
Amnibacterium genus
Schleiferia genus
Sphaerobacter genus
Anaplasma genus
Negativibacillus genus
Sulfurirhabdus genus
Geothermobacter genus
Sphaerobacterineae suborder
Variovorax genus
Salsuginibacillus genus
Oceanihabitans genus
Longimonas genus
Elstera genus
Acaryochloris genus
Isosphaera genus
Frischella genus
Conexibacter genus
Auricoccus genus
Marinibactrum genus
Catenulisporaceae family
Aminomonas genus
Vulgatibacter genus
Temperatibacter genus
Kofleriaceae family
Gracilimonas genus
Cyanobium genus
Brevirhabdus genus
Eikenella genus
Solobacterium genus
Anaeroarcus genus
Rhizorhabdus genus
Xenococcaceae family
Nitratifractor genus
Bythopirellula genus
Kiritimatiellales order
Hafniaceae family
Xylanibacterium genus
Mordavella genus
Endozoicomonas genus
Anaeromyxobacter genus
Rosenbergiella genus
Ekhidna genus
Chelativorans genus
Thermobaculum genus
Tagaea genus
Brevitalea genus
Actinopolyspora genus
Thermobispora genus
Muricomes genus
Desulfofustis genus
Exilispira genus
Phaselicystidaceae family
Hydrogenoanaerobacterium genus
Massiliprevotella genus
Tepidisphaeraceae family
Methyloterrigena genus
Desulfoplanes genus
Nitrosospira genus
Poseidonocella genus
Roseitalea genus
Mesoaciditoga genus
Longimicrobiales order
Ardenticatenaceae family
Aquipuribacter genus
Gryllotalpicola genus
Aminivibrio genus
Labilithrix genus
Endomicrobium genus
Thermicanus genus
Nostoc genus
Piscibacillus genus
Fimbriimonadaceae family
Proteocatella genus
Cobetia genus
Lawsonia genus
Leeuwenhoekiella genus
Rehaibacterium genus
Suttonella genus
Rubidimonas genus
Qipengyuania genus
Starria genus
Acidipila genus
Bacteriovorax genus
Sediminihabitans genus
Jatrophihabitans genus
Thioflavicoccus genus
Asaccharospora genus
Tepidicella genus
Kallipyga genus
Litoribacter genus
Mucispirillum genus
Balneicellaceae family
Mucinivorans genus
Longibaculum genus
Fucophilus genus
Pseudoscardovia genus
Aidingimonas genus
Antarcticimonas genus
Pseudenhygromyxa genus
Chromobacterium genus
Phreatobacter genus
Trichococcus genus
Pontivivens genus
Pseudoruegeria genus
Mitsuaria genus
Tonsilliphilus genus
Salinithrix genus
Akkermansia genus
Streptoalloteichus genus
Syntrophus genus
Algivirga genus
Lacibacter genus
Millionella genus
Paludibaculum genus
Syntrophococcus genus
Tepidisphaerales order
Nesiotobacter genus
Thermogemmatisporaceae family
Pseudoramibacter genus
Pseudaminobacter genus
Lutibaculum genus
Mariniluteicoccus genus
Colidextribacter genus
Canibacter genus
Peptoanaerobacter genus
Rhodospira genus
Thermothrix genus
Emergencia genus
Parvibaculum genus
Streptohalobacillus genus
Tibeticola genus
Xanthomarina genus
Anseongella genus
Denitrobacterium genus
Isosphaeraceae family
Desulfonatronobacter genus
Aurantimicrobium genus
Planktotalea genus
Brackiella genus
Murimonas genus
Kiritimatiellae class
Marinitalea genus
Jeongeupia genus
Acetobacteroides genus
Mesoaciditogales order
Bermanella genus
Dechlorobacter genus
Aquaphilus genus
Falcatimonas genus
Prevotellamassilia genus
Pleurocapsales order
Flagellimonas genus
Thermobifida genus
Bacteriovoracales order
Desulfonatronum genus
Compostibacter genus
Egibacteraceae family
Azotobacter genus
Allohahella genus
Psychrobium genus
Luteivirga genus
Chthonomonadetes class
Marisediminicola genus
Dichelobacter genus
Papillibacter genus
Egibacterales order
Filobacterium genus
Barnesiella genus
Geothermobacterium genus
Renibacterium genus
Georgenia genus
Planctobacterium genus
Quadrisphaera genus
Robbsia genus
Flavivirga genus
Syntrophorhabdus genus
Phycisphaerae class
Heteroleibleiniaceae family
Xylanimonas genus
Catabacteriaceae family
Cryptanaerobacter genus
Holosporales order
Snuella genus
Kriegella genus
Thermomarinilinea genus
Pricia genus
Sediminicoccus genus
Anaeroplasmatales order
Piscinibacter genus
Basilea genus
Neptuniibacter genus
Oleomonas genus
Spirillum genus
Flavihumibacter genus
Labedella genus
Aliidongia genus
Siccibacter genus
Heliophilum genus
Testudinibacter genus
Thermophagus genus
Syntrophobotulus genus
Nodularia genus
Haloactinopolyspora genus
Rhizorhapis genus
Marinicella genus
Rhodoligotrophos genus
Massiliomicrobiota genus
Allomonas genus
Estrella genus
Limibacillus genus
Lipingzhangella genus
Sandaracinaceae family
Orbales order
Chungangia genus
Limisphaera genus
Armatimonadetes phylum
Phocoenobacter genus
Sinobacterium genus
Endomicrobia class
Granulosicoccaceae family
Stenotrophobacter genus
Avibacterium genus
Kiritimatiellaceae family
Fimbriimonas genus
Texcoconibacillus genus
Salinifilum genus
Fulvitalea genus
Sanguibacter genus
Arhodomonas genus
Flaviflexus genus
Actinopolymorpha genus
Geofilum genus
Congregibacter genus
Gardnerella genus
Parachlamydia genus
Pelagibaca genus
Sphaerobacterales order
Rugamonas genus
Rubribacterium genus
Mahella genus
Streptobacillus genus
Desulfurivibrio genus
Turicimonas genus
Thermotunica genus
Planctomycetaceae family
Thiofilaceae family
Haloferula genus
Derxia genus
Kordia genus
Aurantimonas genus
Marseilla genus
Paenisporosarcina genus
Phycisphaeraceae family
Cellvibrionaceae family
Mariprofundaceae family
Youngimonas genus
Ewingella genus
Solirubrobacter genus
Patulibacter genus
Auritidibacter genus
Caldinitratiruptor genus
Halalkalibacillus genus
Microcella genus
Kribbia genus
Thermostilla genus
Carbophilus genus
Endothiovibrio genus
Xenophilus genus
Carboxylicivirga genus
Stenoxybacter genus
Pustulibacterium genus
Desulfarculales order
Woeseiaceae family
Desulfatiferula genus
Pacificimonas genus
Nicoletella genus
Salibacter genus
Conyzicola genus
Thiofilum genus
Catellicoccus genus
Jonquetella genus
Methylomarinum genus
Chitinophagaceae family
Tangfeifania genus
Cryomorpha genus
Glaciibacter genus
Allobaculum genus
Gemmatimonadales order
Garicola genus
Chryseomicrobium genus
Paeniclostridium genus
Methylacidimicrobium genus
Okeania genus
Plantactinospora genus
Taibaiella genus
Chrysiogenaceae family
Flavicella genus
Limnochordia class
Gaiella genus
Ihubacter genus
Planobispora genus
Filimonas genus
Irregularibacter genus
Zavarzinia genus
Syntrophothermus genus
Tamaricihabitans genus
Marinactinospora genus
Sulfurifustis genus
Azorhizophilus genus
Trichocoleus genus
Yuhushiella genus
Rhabdothermus genus
Perlucidibaca genus
Proteinivorax genus
Thiodictyon genus
Hartmannibacter genus
Mameliella genus
Lutispora genus
Geosporobacter genus
Pelagicola genus
Parvibacter genus
Rhodohalobacter genus
Dermabacter genus
Chitinivibrionales order
Eilatimonas genus
Rhodocytophaga genus
Desulfosporomusa genus
Gloeobacteria class
Brasilonema genus
Vulcanithermus genus
Altererythrobacter genus
Halanaerocella genus
Synergistes genus
Formosimonas genus
Calditrichaeota phylum
Anaerosporomusa genus
Thalassobacter genus
Ardenticatena genus
Halofilum genus
Catenovulum genus
Xylanimicrobium genus
Caldiserica phylum
Extensimonas genus
Maledivibacter genus
Caldisericia class
Corallincola genus
Thalassobaculum genus
Rhabdochromatium genus
Adhaeribacter genus
Mariniradius genus
Feifantangia genus
Thermogutta genus
Gelatiniphilus genus
Calorithrix genus
Planctomycetes phylum
Chroococcidiopsidaceae family
Levyella genus
Aquidulcibacter genus
Oligosphaeria class
Tepidiphilus genus
Pseudoflavitalea genus
Desulfobotulus genus
Gallaecimonas genus
Amphiplicatus genus
Litorilinea genus
Methyloferula genus
Gallicola genus
Taeania genus
Anaerolineaceae family
Aureitalea genus
Gaiellales order
Seohaeicola genus
Sporobacter genus
Fusicatenibacter genus
Litorivivens genus
Paeniglutamicibacter genus
Thioalkalicoccus genus
Kroppenstedtia genus
Meridianimaribacter genus
Fermentibacillus genus
Brooklawnia genus
Stigonemataceae family
Dissulfuribacter genus
Gemmata genus
Salisediminibacterium genus
Cohaesibacteraceae family
Thermoflexales order
Galbitalea genus
Yokenella genus
Fabibacter genus
Thermocatellispora genus
Cephaloticoccus genus
Simkaniaceae family
Pontibaca genus
Ferriphaselus genus
Chitinispirillales order
Intestinibacillus genus
Pseudofulvimonas genus
Phormidium genus
Pseudorhodobacter genus
Sulfurimonas genus
Potamolinea genus
Hyphobacterium genus
Thiorhodovibrio genus
Sellimonas genus
Nitrospinales order
Marininema genus
Chitinibacter genus
Parascardovia genus
Beijerinckia genus
Tannerellaceae family
Taeseokella genus
Aquisphaera genus
Thermorudis genus
Citreitalea genus
Rhabdobacter genus
Intestinimonas genus
Natranaerobiales order
Melaminivora genus
Imtechella genus
Limnohabitans genus
Iodidimonadaceae family
Serinicoccus genus
Inmirania genus
Pontimonas genus
Tropheryma genus
Echinimonas genus
Neomicrococcus genus
Cutibacterium genus
Ponticaulis genus
Clostridioides genus
Malonomonas genus
Variibacter genus
Aquaticitalea genus
Postechiella genus
Heliimonas genus
Desulfurispira genus
Ferribacterium genus
Harryflintia genus
Pseudooctadecabacter genus
Woeseia genus
Ponticoccus genus
Humitalea genus
Sinibacillus genus
Faecalicatena genus
Cucumibacter genus
Desulfoglaeba genus
Coleofasciculaceae family
Cellulosilyticum genus
Frondihabitans genus
Cribrihabitans genus
Falsiporphyromonas genus
Herpetosiphon genus
Pelolinea genus
Mariprofundus genus
Anaerobranca genus
Desulfohalophilus genus
Marinisporobacter genus
Oligosphaera genus
Anaerocella genus
Salisaeta genus
Empedobacter genus
Allofrancisella genus
Aeriscardovia genus
Thermanaerovibrio genus
Desulfatitalea genus
Psychrosinus genus
Corticibacter genus
Aliifodinibius genus
Phaeovibrio genus
Yonghaparkia genus
Lacimonas genus
Compostimonas genus
Temperatibacteraceae family
Bergeyella genus
Blastopirellula genus
Marimicrobium genus
Aggregicoccus genus
Alysiella genus
Sporanaerobacter genus
Sungkyunkwania genus
Egibacter genus
Rarimicrobium genus
Ventosimonas genus
Defluviitalea genus
Spongiivirga genus
Aliiroseovarius genus
Phycisphaera genus
Breznakia genus
Jishengella genus
Iamiaceae family
Ethanoligenens genus
Costertonia genus
Gloeothece genus
Lyticum genus
Uliginosibacterium genus
Oceanospirillaceae family
Chamaesiphonaceae family
Armatimonadaceae family
Faecalimonas genus
Sphaerobacteraceae family
Phaselicystis genus
Monashia genus
Mangrovibacterium genus
Tolypothrichaceae family
Rhodoplanes genus
Actinopolysporaceae family
Thioprofundum genus
Rhodothermaceae family
Lachnobacterium genus
Diaminobutyricibacter genus
Chrysiogenes genus
Bombiscardovia genus
Chthoniobacterales order
Frigidibacter genus
Vibrionimonas genus
Baia genus
Olegusella genus
Sporohalobacter genus
Crocosphaera genus
Caenispirillum genus
Geothermomicrobium genus
Arenicella genus
Dinghuibacter genus
Labilibacter genus
Mobiluncus genus
Aliagarivorans genus
Ottowia genus
Metallibacterium genus
Traorella genus
Chroococcidiopsidales order
Acidothermales order
Tropicimonas genus
Desulfarculus genus
Anaerosalibacter genus
Erysipelothrix genus
Marivirga genus
Ancylomarina genus
Rhodopila genus
Flavitalea genus
Dehalococcoidales order
Chloroflexia class
Halobacteroides genus
Nitrospinia class
Marinovum genus
Vulcanibacillus genus
Aliihoeflea genus
Bacterioplanes genus
Halopolyspora genus
Aminobacter genus
Labrys genus
Thermotalea genus
Marinibaculum genus
Robinsoniella genus
Thermohydrogenium genus
Thermoflexaceae family
Rhodobaca genus
Chrysiogenetes phylum
Falsibacillus genus
Thermosediminibacter genus
Magnetococcus genus
Dactylococcopsis genus
Coetzeea genus
Paraclostridium genus
Thermosulfurimonas genus
Corticicoccus genus
Salinispora genus
Kinneretia genus
Thermincola genus
Numidum genus
Acidothermus genus
Nitrospinae phylum
Fontibacillus genus
Ardenticatenales order
Flexilinea genus
Acetomicrobium genus
Gulbenkiania genus
Albimonas genus
Chthonomonadaceae family
Pseudodonghicola genus
Parvularculales order
Hansschlegelia genus
Tabrizicola genus
Limnochordaceae family
Litorilituus genus
Victivallaceae family
Parachlamydiaceae family
Aphanothecaceae family
Maripseudobacter genus
Haloglycomyces genus
Kiritimatiellaeota phylum
Oceanicoccus genus
Symphyonemataceae family
Litorisediminivivens genus
Asinibacterium genus
Geothrix genus
Polymorphum genus
Jejudonia genus
Liberibacter genus
Criblamydia genus
Wenyingzhuangia genus
Marinilabilia genus
Arsukibacterium genus
Prochlorothrix genus
Oceanicella genus
Telluria genus
Sedimentitalea genus
Nioella genus
Litorimicrobium genus
Ancylothrix genus
Krasilnikoviella genus
Hydrotalea genus
Pleionea genus
Pirellula genus
Wangella genus
Nisaea genus
Gemmobacter genus
Salinispirillum genus
Ktedonobacterales order
Actinorugispora genus
Caldicoprobacteraceae family
Atopostipes genus
Spongiimonas genus
Marinomonas genus
Meniscus genus
Portibacter genus
Pelagibacterium genus
Scopulibacillus genus
Anabaena genus
Rhodobaculum genus
Oribacterium genus
Apibacter genus
Spiribacter genus
Sphingomicrobium genus
Sterolibacterium genus
Aquabacter genus
Oricola genus
Bacillales Family XI. Incertae Sedis unknown
Chlamydia/Chlamydophila group unknown
unclassified Sporolactobacillaceae unknown
Mycobacterium simiae complex species_group
Ponticoccus gilvus species
Pseudomonas oleovorans/pseudoalcaligenes group species_subgroup
Mycobacteroides abscessus species
Thermoanaerobacterales Family III. Incertae Sedis family
Streptococcus anginosus group species_group
Alteromonadales genera incertae sedis unknown
Verrucomicrobia subdivision 3 family
Aneurinibacillus group unknown
Pantoea agglomerans group species_group
Actinoplanes incertae sedis unknown
belli group species_group
Mycobacterium tuberculosis complex species_group
Burkholderia cepacia complex species_group
Streptomyces albidoflavus group unknown
Clostridiales Family XII. Incertae Sedis family
Acidobacteria subdivision 23 unknown
Nitrospinae/Tectomicrobia group unknown
Candidatus Protochlamydia genus
Acidobacteria subdivision 6 class
Clostridiales Family XIII. Incertae Sedis family
Candidatus Pelagibacter genus
Bacillales Family X. Incertae Sedis family
Bacteroidetes Order II. Incertae sedis order
Luna cluster unknown
spotted fever group species_group
Thermoanaerobacterales Family IV. Incertae Sedis family
Clostridiales Family XVII. Incertae Sedis family
Pediococcus acidilactici group unknown
Actinobacteria incertae sedis unknown
unclassified Verrucomicrobia unknown
Zymobacter group unknown
unclassified Enterobacterales unknown
Ileibacterium massiliense species
Mycobacterium_avium_complex_(MAC) species_group
Candidatus Planktoluna genus
Stenotrophomonas maltophilia group species_group
phagocytophilum group species_group
Bacillales Family XII. Incertae Sedis unknown
Luna-1 subcluster unknown
Bacillus amyloliquefaciens group species_subgroup
pseudomallei group species_group
unclassified Rhodospirillales unknown
Agrobacterium tumefaciens complex species_group
Bacillus cereus group species_group
Acinetobacter calcoaceticus/baumannii complex species_group
Rickettsia sibirica subgroup species_subgroup
Vibrio oreintalis group species_group
typhus group species_group
Candidatus Aquiluna genus
Acetobacter subgen. Acetobacter subgenus
Moorella group unknown
Enterobacter cloacae complex species_group
Candidatus Flaviluna genus
Acidobacteria subdivision 10 unknown
Paenibacillus sonchi group species_group
Candidatus Melainabacteria phylum
Sinorhizobium/Ensifer group unknown
Chlorobium/Pelodictyon group unknown
Citrobacter freundii complex species_group
unclassified Oceanospirillales unknown
Candidatus Limnoluna genus
unclassified Oscillatoriales unknown
Geobacillus thermoleovorans group species_group
unclassified Frankiales unknown
Streptomyces cinnamoneus group unknown
Clostridiales Family XVI. Incertae Sedis family
Rhizobium/Agrobacterium group unknown
