Root rootrank
Bauldia genus
Malikia genus
Fulvivirga genus
Moritella genus
Thermodesulfobacteriales order
Petrotogales order
Plesiocystis genus
Shuttleworthia genus
Holophaga genus
Desulforhopalus genus
Limibacter genus
Nevskiales order
Methylorhabdus genus
Nitrobacter genus
Desulforegula genus
Neochlamydia genus
Psychrobacillus genus
Rhodoglobus genus
Schlesneria genus
Anaerocolumna genus
Paraprevotella genus
Byssovorax genus
Methyloversatilis genus
Lamprocystis genus
Gracilibacillus genus
Caldanaerobacter genus
Halonatronum genus
Oxalophagus genus
Ilumatobacter genus
Alkalispirillum genus
Phyllobacterium genus
Azonexaceae family
Peptoclostridium genus
Rhodanobacter genus
Virgibacillus genus
Azospira genus
Aminobacterium genus
Desulfospira genus
Paludibacter genus
Dokdonella genus
Halochromatium genus
Allofustis genus
Salinibacillus genus
Jiangellaceae family
Nitriliruptoria class
Thiothrix genus
Thermomonas genus
Bosea genus
Sterolibacteriaceae family
Kordiimonas genus
Tatumella genus
Marinoscillum genus
Opitutae class
Flexithrix genus
Chlorobia class
Perexilibacter genus
Edwardsiella genus
Ktedonobacteria class
Acidaminobacter genus
Nitrospira class
Actinospicaceae family
Azonexus genus
Aquitalea genus
Thermocrinis genus
Stella genus
Acrocarpospora genus
Cerasibacillus genus
Coprobacillus genus
Thermoleophilia class
Smaragdicoccus genus
Roseivivax genus
Aliiglaciecola genus
Sediminibacillus genus
Knoellia genus
Maritimibacter genus
Aquisalibacillus genus
Reichenbachiella genus
Thiolinea genus
Trueperella genus
Kribbella genus
Thiophaeococcus genus
Geobacillus genus
Odoribacteraceae family
Caldibacillus genus
Skermanella genus
Thalassotalea genus
Acetohalobium genus
Petrotogaceae unknown
Oceanimonas genus
Collimonas genus
Giesbergeria genus
Pseudaeromonas genus
Natronocella genus
Angulomicrobium genus
Mariniflexile genus
Saccharophagus genus
Roseibacillus genus
Woodsholea genus
Ktedonobacter genus
Methylarcula genus
Desulfobacterium genus
Oligoflexia class
Dehalococcoidia class
Paracraurococcus genus
Proteinivoraceae family
Aurantimonadaceae family
Aerococcus genus
Glaesserella genus
Eudoraea genus
Rhodanobacteraceae family
Lentisphaerae phylum
Sneathiellales order
Deferribacteres phylum
Kiloniellaceae family
Dethiosulfovibrio genus
Massilia genus
Lysobacter genus
Desulfobacca genus
Microscillaceae family
Beggiatoa genus
Chloroherpeton genus
Nautilia genus
Leptolinea genus
Raoultella genus
Anaerosporobacter genus
Pseudogulbenkiania genus
Loktanella genus
Leptospiraceae family
Ammonifex genus
Ferrithrix genus
Klugiella genus
Erysipelotrichaceae family
Sphingosinicella genus
Oxalobacter genus
Acanthopleuribacter genus
Sutterella genus
Denitrovibrio genus
Pimelobacter genus
Kineosporiaceae family
Moorella genus
Salicola genus
Roseomonas genus
Solirubrobacteraceae family
Heliobacillus genus
Bogoriellaceae family
Spongiibacteraceae family
Lewinellaceae family
Catenulispora genus
Lentisphaerales order
Thalassomonas genus
Sanguibacteraceae family
Ferruginibacter genus
Prosthecomicrobium genus
Desulfacinum genus
Croceicoccus genus
Holophagae class
Anaeroglobus genus
Crocinitomix genus
Nitratiruptor genus
Holdemania genus
Stappia genus
Nitrosomonadaceae family
Wenxinia genus
Thalassococcus genus
Salinisphaeraceae family
Natroniella genus
Alkalibacter genus
Paludibacteraceae family
Azohydromonas genus
Mucilaginibacter genus
Marinilabiliaceae family
Chlorobiaceae family
Puniceicoccaceae family
Rhodoblastus genus
Anaerolineales order
Methylotenera genus
Thiohalomonas genus
Oryzihumus genus
Austwickia genus
Caldilineales order
Tsukamurellaceae family
Solitalea genus
Pontibacter genus
Cryomorphaceae family
Oleiphilus genus
Leeia genus
Tanticharoenia genus
Lonsdalea genus
Haliea genus
Thioreductor genus
Aminiphilus genus
Smithella genus
Chloroflexi phylum
Ureibacillus genus
Cellvibrio genus
Bdellovibrionaceae family
Thiohalocapsa genus
Longilinea genus
Deferribacteraceae family
Alkalilimnicola genus
Dokdonia genus
Sulfurovum genus
Anaeroplasmataceae family
Acanthopleuribacteraceae family
Desulfothermus genus
Thiohalorhabdus genus
Lentisphaeraceae family
Sinobacteraceae family
Hydrogenibacillus genus
Persephonella genus
Subdoligranulum genus
Geoalkalibacter genus
Enhygromyxa genus
Terrimonas genus
Isoptericola genus
Planctomycetales order
Nevskia genus
Croceibacter genus
Rothia genus
Planctomycetia class
Desulfomonile genus
Aquincola genus
Solirubrobacterales order
Rhodobacter genus
Oceanicaulis genus
Balneolales order
Zobellia genus
Thermotoga genus
Sulfobacillus genus
Propionimicrobium genus
Asticcacaulis genus
Ktedonobacteraceae family
Pleomorphomonas genus
Ferrimonas genus
Gracilibacteraceae family
Xylophilus genus
Amphibacillus genus
Methylorubrum genus
Zavarzinella genus
Thiocystis genus
Streptacidiphilus genus
Chitinilyticum genus
Ferrimonadaceae family
Geovibrio genus
Desulfatiglans genus
Planotetraspora genus
Holophagaceae family
Moraxella genus
Ketogulonicigenium genus
Chelatococcaceae family
Planosporangium genus
Zeaxanthinibacter genus
Caldimicrobium genus
Yeosuana genus
Psychroflexus genus
Desulfocurvus genus
Levilinea genus
Oceanithermus genus
Galbibacter genus
Methylovorus genus
Moritellaceae family
Pararhodospirillum genus
Leptonema genus
Salinisphaera genus
Pedobacter genus
Globicatella genus
Aquaspirillum genus
Mitsuokella genus
Fibrobacteraceae family
Algicola genus
Acidaminococcus genus
Caldithrix genus
Sneathia genus
Desulfoluna genus
Dyella genus
Belnapia genus
Aquifex genus
